biosampleName,biosampleId,annotation,confidence
natural killer cell,CL_0000623,natural killer cell,High
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",Good
"CD4-positive, alpha-beta T cell",CL_0000624,"CD4-positive, alpha-beta T cell",Good
suprapubic skin,UBERON_0036149,suprapubic skin,Good
spleen,UBERON_0002106,spleen,Medium
T-helper 17 cell,CL_0000899,T-helper 17 cell,Good
"CD8-positive, alpha-beta T cell",CL_0000625,"CD8-positive, alpha-beta T cell",Good
"central memory CD8-positive, alpha-beta T cell",CL_0000907,"central memory CD8-positive, alpha-beta T cell",Good
CD14-positive monocyte,CL_0001054,CD14-positive monocyte,Good
dorsolateral prefrontal cortex,UBERON_0009834,dorsolateral prefrontal cortex,Good
left lung,UBERON_0002168,left lung,Good
posterior cingulate gyrus,UBERON_0002740,posterior cingulate gyrus,Good
"naive thymus-derived CD4-positive, alpha-beta T cell",CL_0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",Good
"CD8-positive, alpha-beta memory T cell",CL_0000909,"CD8-positive, alpha-beta memory T cell",Good
kidney,UBERON_0002113,kidney,Medium
"activated CD4-positive, alpha-beta regulatory T cell",CL_0000896,"activated CD4-positive, alpha-beta T cell",Medium
T-helper 2 cell,CL_0000546,T-helper 2 cell,Good
T-cell,CL_0000084,T cell,Good
"naive thymus-derived CD8-positive, alpha-beta T cell",CL_0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",Good
left colon,UBERON_0008971,left colon,Good
HCT116,EFO_0002824,HCT116,Good
T-helper 1 cell,CL_0000545,T-helper 1 cell,Good
"effector memory CD4-positive, alpha-beta T cell",CL_0000905,"effector memory CD4-positive, alpha-beta T cell",Good
mucosa of descending colon,UBERON_0004992,mucosa of descending colon,Good
"effector CD4-positive, alpha-beta T cell",CL_0000905,"effector memory CD4-positive, alpha-beta T cell",Good
T-helper 9 cell,CL_0002061,T-helper 9 cell,Good
breast epithelium,UBERON_0008367,breast epithelium,Good
"activated effector memory CD4-positive, alpha-beta T cell",CL_0000905,"effector memory CD4-positive, alpha-beta T cell",Medium
OCI-LY7,EFO_0006711,OCI-LY7,Good
right lobe of liver,UBERON_0001114,right lobe of liver,Good
activated T-cell,CL_0000906,"activated CD8-positive, alpha-beta T cell",Medium
"stimulated activated naive CD8-positive, alpha-beta T cell",CL_0000906,"activated CD8-positive, alpha-beta T cell",Medium
right cardiac atrium,UBERON_0002078,right cardiac atrium,Good
memory B cell,CL_0000787,memory B cell,High
"effector memory CD8-positive, alpha-beta T cell",CL_0000913,"effector memory CD8-positive, alpha-beta T cell",Good
"stimulated activated effector memory CD8-positive, alpha-beta T cell",CL_0000913,"effector memory CD8-positive, alpha-beta T cell",Medium
upper lobe of right lung,UBERON_0002170,upper lobe of right lung,Good
heart left ventricle,UBERON_0002084,heart left ventricle,Good
K562,EFO_0002067,K562,Good
sciatic nerve,UBERON_0001322,sciatic nerve,Good
pancreas,UBERON_0001264,pancreas,Medium
"CD4-positive, alpha-beta memory T cell",CL_0000897,"CD4-positive, alpha-beta memory T cell",Good
"stimulated activated CD4-positive, alpha-beta T cell",CL_0000896,"activated CD4-positive, alpha-beta T cell",Medium
tibial artery,UBERON_0007610,tibial artery,Good
aorta,UBERON_0000947,aorta,Good
"activated CD4-positive, alpha-beta T cell",CL_0000896,"activated CD4-positive, alpha-beta T cell",Good
T-helper 22 cell,CL_0000912,helper T cell,Medium
lower lobe of left lung,UBERON_0008953,lower lobe of left lung,Good
"activated CD8-positive, alpha-beta memory T cell",CL_0000907,"central memory CD8-positive, alpha-beta T cell",Medium
Right ventricle myocardium inferior,UBERON_0006567,right ventricle myocardium,Medium
colonic mucosa,UBERON_0000317,colonic mucosa,Medium
lower leg skin,UBERON_0004264,lower leg skin,Good
astrocyte,CL_0000127,astrocyte,Good
uterus,UBERON_0000995,uterus,Medium
ovary,UBERON_0000992,ovary,Good
"stimulated activated CD8-positive, alpha-beta memory T cell",CL_0000907,"central memory CD8-positive, alpha-beta T cell",Medium
placenta,UBERON_0001987,placenta,Good
posterior vena cava,UBERON_0001072,inferior vena cava,Good
G401,EFO_0002179,G401,Good
activated T-helper 9 cell,CL_0000912,helper T cell,Medium
Peyer's patch,UBERON_0001211,Peyer's patch,Good
Right ventricle myocardium superior,UBERON_0006567,right ventricle myocardium,Good
heart right ventricle,UBERON_0002080,heart right ventricle,Good
gastrocnemius medialis,UBERON_0011907,gastrocnemius medialis,Good
RWPE2,EFO_0007610,RWPE2,Good
ascending aorta,UBERON_0001496,ascending aorta,Good
"activated naive CD4-positive, alpha-beta T cell",EFO_0010105,CD4-positive T-lymphocyte count,Medium
transverse colon,UBERON_0001157,transverse colon,Good
CD1c-positive myeloid dendritic cell,CL_0002399,CD1c-positive myeloid dendritic cell,Good
adrenal gland,UBERON_0002369,adrenal gland,Good
left lobe of liver,UBERON_0001115,left lobe of liver,Good
psoas muscle,UBERON_0001298,psoas major muscle,Good
sigmoid colon,UBERON_0001159,sigmoid colon,Good
left cardiac atrium,UBERON_0002079,left cardiac atrium,Good
activated gamma-delta T cell,UBERON_0010393,T cell domain,Medium
left ventricle myocardium inferior,UBERON_0006566,left ventricle myocardium,Medium
activated T-helper 1 cell,UBERON_0010393,T cell domain,Medium
"activated CD4-positive, alpha-beta memory T cell",CL_0000904,"central memory CD4-positive, alpha-beta T cell",Medium
hematopoietic multipotent progenitor cell,CL_0000837,hematopoietic multipotent progenitor cell,Good
BE2C,EFO_0005725,BE(2)-C,Good
HL-60,EFO_0002793,HL-60,Good
chondrocyte,CL_0000138,chondrocyte,Good
"activated naive CD8-positive, alpha-beta T cell",CL_0000906,"activated CD8-positive, alpha-beta T cell",Medium
activated B cell,CL_0000236,B cell,Good
GM12892,EFO_0002786,GM12892,Good
inflammatory macrophage,CL_0000863,inflammatory macrophage,High
NAMALWA,EFO_0002246,NAMALWA,Good
SJSA1,EFO_0002330,SJSA1,Good
head of caudate nucleus,UBERON_0002626,head of caudate nucleus,Good
B cell,CL_0000236,B cell,High
tibial nerve,UBERON_0001323,tibial nerve,Good
upper lobe of left lung,UBERON_0008952,upper lobe of left lung,Good
Caco-2,EFO_0001099,Caco-2,Good
A673,EFO_0002106,A673,Good
LNCaP clone FGC,EFO_0005726,LNCaP clone FGC,Good
prostate gland,UBERON_0002367,prostate gland,Good
small intestine,UBERON_0002108,small intestine,Good
large intestine,UBERON_0000059,large intestine,Good
body of pancreas,UBERON_0001150,body of pancreas,Good
CMK,EFO_0003037,CMK,Good
dermis blood vessel endothelial cell,CL_2000010,dermis blood vessel endothelial cell,Good
GM10266,EFO_0005335,GM10266,Good
naive B cell,CL_0000788,naive B cell,High
thymus,UBERON_0002370,thymus,Medium
GM12865,EFO_0005338,GM12865,Good
HuH-7,EFO_0005384,HuH-7,Good
heart,UBERON_0000948,heart,Good
D721Med,EFO_0005696,D721Med,Good
GM13977,EFO_0005346,GM13977,Good
H54,,,
ecto neural progenitor cell,,,
thyroid gland,UBERON_0002046,thyroid gland,Medium
pons,UBERON_0000988,pons,Good
left ventricle myocardium superior,UBERON_0006566,left ventricle myocardium,Medium
globus pallidus,UBERON_0001875,globus pallidus,Good
chorion,UBERON_0004027,chorionic plate,Medium
A549,EFO_0001086,A549,Good
"common myeloid progenitor, CD34-positive",CL_0001059,"common myeloid progenitor, CD34-positive",Good
thoracic aorta,UBERON_0001515,thoracic aorta,Good
GM12878,EFO_0002784,GM12878,Good
suppressor macrophage,CL_0000862,suppressor macrophage,Good
PC-9,EFO_0002847,PC-9,Good
lower lobe of right lung,UBERON_0002171,lower lobe of right lung,Good
"activated CD8-positive, alpha-beta T cell",CL_0000906,"activated CD8-positive, alpha-beta T cell",Good
ureter,UBERON_0000056,ureter,Good
mesenteric fat pad,UBERON_0015143,mesenteric fat pad,Good
IMR-90,EFO_0001196,IMR-90,Good
glomerular endothelial cell,CL_0002188,glomerular endothelial cell,High
HepG2,EFO_0001187,HepG2,Good
glutamatergic neuron,CL_0000679,glutamatergic neuron,Good
8988T,EFO_0005713,8988T,Medium
trophoblast cell,CL_0000351,trophoblast cell,Good
fibroblast of villous mesenchyme,UBERON_8600039,chorionic villous mesenchyme,Medium
activated T-helper 2 cell,CL_0000546,T-helper 2 cell,Medium
stomach,UBERON_0000945,stomach,Good
Calu3,EFO_0002819,Calu3,Good
Ammon's horn,UBERON_0001954,Ammon's horn,Good
lung microvascular endothelial cell,CL_2000016,lung microvascular endothelial cell,Good
dermis microvascular lymphatic vessel endothelial cell,CL_2000041,dermis microvascular lymphatic vessel endothelial cell,Good
GM19239,EFO_0002789,GM19239,Good
testis,UBERON_0000473,testis,Medium
SJCRH30,EFO_0005722,SJRH30,Good
T follicular helper cell,CL_0002038,T follicular helper cell,Good
