studyId	studyType	analysisFlag	qualityControl	isCurated
GCST000028				TRUE
GCST000392				TRUE
GCST000510				TRUE
GCST000553				TRUE
GCST000569			Failed summary statistics quality control	TRUE
GCST005180			Failed summary statistics quality control	TRUE
GCST000571			Failed summary statistics quality control	TRUE
GCST000568			Failed summary statistics quality control	TRUE
GCST005179			Failed summary statistics quality control	TRUE
GCST000612				TRUE
GCST000679				TRUE
GCST000758			Failed summary statistics quality control	TRUE
GCST000759			Failed summary statistics quality control	TRUE
GCST000760			Failed summary statistics quality control	TRUE
GCST000755			Failed summary statistics quality control	TRUE
GCST000879				TRUE
GCST000922			Failed summary statistics quality control	TRUE
GCST006326			Failed summary statistics quality control	TRUE
GCST006328			Failed summary statistics quality control	TRUE
GCST006329				TRUE
GCST006327			Failed summary statistics quality control	TRUE
GCST000998				TRUE
GCST001198				TRUE
GCST001212			Failed summary statistics quality control	TRUE
GCST001255				TRUE
GCST005523				TRUE
GCST001404				TRUE
GCST001475				TRUE
GCST007691				TRUE
GCST001482				TRUE
GCST005185			Failed summary statistics quality control	TRUE
GCST005186			Failed summary statistics quality control	TRUE
GCST001592				TRUE
GCST005047				TRUE
GCST005524				TRUE
GCST005581				TRUE
GCST001685				TRUE
GCST005527				TRUE
GCST005569				TRUE
GCST001791			Failed summary statistics quality control	TRUE
GCST001790			Failed summary statistics quality control	TRUE
GCST001837				TRUE
GCST005522				TRUE
GCST001969				TRUE
GCST005528				TRUE
GCST002047				TRUE
GCST005529				TRUE
GCST005531				TRUE
GCST002221				TRUE
GCST002222				TRUE
GCST002223				TRUE
GCST002216				TRUE
GCST002245				TRUE
GCST002318				TRUE
GCST002376				TRUE
GCST005215			Failed summary statistics quality control	TRUE
GCST005218			Failed summary statistics quality control	TRUE
GCST005221			Failed summary statistics quality control	TRUE
GCST005219			Failed summary statistics quality control	TRUE
GCST005216			Failed summary statistics quality control	TRUE
GCST005217			Failed summary statistics quality control	TRUE
GCST005220			Failed summary statistics quality control	TRUE
GCST005223			Failed summary statistics quality control	TRUE
GCST005222			Failed summary statistics quality control	TRUE
GCST90243860		Metabolite		TRUE
GCST90243879		Metabolite		TRUE
GCST90243578		Metabolite		TRUE
GCST90243626		Metabolite		TRUE
GCST90243760		Metabolite		TRUE
GCST90243864		Metabolite		TRUE
GCST90243817		Metabolite		TRUE
GCST90243579		Metabolite		TRUE
GCST90243665		Metabolite		TRUE
GCST90243644		Metabolite		TRUE
GCST90243523		Metabolite		TRUE
GCST90243445		Metabolite		TRUE
GCST90243419		Metabolite		TRUE
GCST90243594		Metabolite		TRUE
GCST90243462		Metabolite		TRUE
GCST90243520		Metabolite		TRUE
GCST90243457		Metabolite		TRUE
GCST90243424		Metabolite		TRUE
GCST90243790		Metabolite		TRUE
GCST90243736		Metabolite		TRUE
GCST90243697		Metabolite		TRUE
GCST90243630		Metabolite		TRUE
GCST90243865		Metabolite		TRUE
GCST90243618		Metabolite		TRUE
GCST90243526		Metabolite		TRUE
GCST90243870		Metabolite		TRUE
GCST90243631		Metabolite		TRUE
GCST90243803		Metabolite		TRUE
GCST90243614		Metabolite		TRUE
GCST90243759		Metabolite		TRUE
GCST90243495		Metabolite		TRUE
GCST90243560		Metabolite		TRUE
GCST90243536		Metabolite		TRUE
GCST90243480		Metabolite		TRUE
GCST90243837		Metabolite		TRUE
GCST90243406		Metabolite		TRUE
GCST90243642		Metabolite		TRUE
GCST90243442		Metabolite		TRUE
GCST90243418		Metabolite		TRUE
GCST90243628		Metabolite		TRUE
GCST90243509		Metabolite		TRUE
GCST90243646		Metabolite		TRUE
GCST90243800		Metabolite		TRUE
GCST90243868		Metabolite		TRUE
GCST90243521		Metabolite		TRUE
GCST90243664		Metabolite		TRUE
GCST90243407		Metabolite		TRUE
GCST90243405		Metabolite		TRUE
GCST90243700		Metabolite		TRUE
GCST90243730		Metabolite		TRUE
GCST90243404		Metabolite		TRUE
GCST90243835		Metabolite		TRUE
GCST90243452		Metabolite		TRUE
GCST90243616		Metabolite		TRUE
GCST90243776		Metabolite		TRUE
GCST90243489		Metabolite		TRUE
GCST90243696		Metabolite		TRUE
GCST90243541		Metabolite		TRUE
GCST90243486		Metabolite		TRUE
GCST90243673		Metabolite		TRUE
GCST90243693		Metabolite		TRUE
GCST90243836		Metabolite		TRUE
GCST90243789		Metabolite		TRUE
GCST90243770		Metabolite		TRUE
GCST90243421		Metabolite		TRUE
GCST90243819		Metabolite		TRUE
GCST90243804		Metabolite		TRUE
GCST90243610		Metabolite		TRUE
GCST90243734		Metabolite		TRUE
GCST90243548		Metabolite		TRUE
GCST90243718		Metabolite		TRUE
GCST90243606		Metabolite		TRUE
GCST002548				TRUE
GCST002598				TRUE
GCST007857				TRUE
GCST007858				TRUE
GCST002783			Failed summary statistics quality control	TRUE
GCST005536				TRUE
GCST007236				TRUE
GCST002920			Failed summary statistics quality control	TRUE
GCST005538				TRUE
GCST002964		Metabolite		TRUE
GCST90240109		Metabolite		TRUE
GCST90240019		Metabolite		TRUE
GCST90239998		Metabolite		TRUE
GCST90240060		Metabolite		TRUE
GCST90240097		Metabolite		TRUE
GCST90240047		Metabolite		TRUE
GCST90240049		Metabolite		TRUE
GCST90240025		Metabolite		TRUE
GCST90240018		Metabolite		TRUE
GCST90240106		Metabolite		TRUE
GCST90239992		Metabolite		TRUE
GCST90240028		Metabolite		TRUE
GCST90240083		Metabolite		TRUE
GCST90240064		Metabolite		TRUE
GCST90240013		Metabolite		TRUE
GCST90240000		Metabolite		TRUE
GCST90240038		Metabolite		TRUE
GCST90240074		Metabolite		TRUE
GCST90240053		Metabolite		TRUE
GCST90240098		Metabolite		TRUE
GCST90240017		Metabolite		TRUE
GCST90240004		Metabolite		TRUE
GCST90240069		Metabolite		TRUE
GCST90240085		Metabolite		TRUE
GCST90240114		Metabolite		TRUE
GCST90240079		Metabolite		TRUE
GCST90240117		Metabolite		TRUE
GCST90239995		Metabolite		TRUE
GCST90240043		Metabolite		TRUE
GCST90240012		Metabolite		TRUE
GCST90239993		Metabolite		TRUE
GCST90240031		Metabolite		TRUE
GCST90239991		Metabolite		TRUE
GCST90240002		Metabolite		TRUE
GCST90240091		Metabolite		TRUE
GCST002965		Metabolite		TRUE
GCST90240094		Metabolite		TRUE
GCST90240050		Metabolite		TRUE
GCST90240104		Metabolite		TRUE
GCST90240062		Metabolite		TRUE
GCST90240035		Metabolite		TRUE
GCST90240015		Metabolite		TRUE
GCST90240067		Metabolite		TRUE
GCST90240068		Metabolite		TRUE
GCST90240063		Metabolite		TRUE
GCST90240087		Metabolite		TRUE
GCST90240040		Metabolite		TRUE
GCST90240039		Metabolite		TRUE
GCST002961		Metabolite		TRUE
GCST90240045		Metabolite		TRUE
GCST90240076		Metabolite		TRUE
GCST002966		Metabolite		TRUE
GCST90240073		Metabolite		TRUE
GCST90240096		Metabolite		TRUE
GCST90240086		Metabolite		TRUE
GCST90240016		Metabolite		TRUE
GCST90240075		Metabolite		TRUE
GCST90240008		Metabolite		TRUE
GCST90240058		Metabolite		TRUE
GCST90239996		Metabolite		TRUE
GCST90240003		Metabolite		TRUE
GCST90240070		Metabolite		TRUE
GCST90240118		Metabolite		TRUE
GCST90240009		Metabolite		TRUE
GCST90240056		Metabolite		TRUE
GCST90240032		Metabolite		TRUE
GCST90240022		Metabolite		TRUE
GCST90240020		Metabolite		TRUE
GCST90240102		Metabolite		TRUE
GCST90240033		Metabolite		TRUE
GCST90240001		Metabolite		TRUE
GCST90240089		Metabolite		TRUE
GCST90240105		Metabolite		TRUE
GCST90240115		Metabolite		TRUE
GCST90240116		Metabolite		TRUE
GCST90240052		Metabolite		TRUE
GCST90240037		Metabolite		TRUE
GCST90240065		Metabolite		TRUE
GCST90240029		Metabolite		TRUE
