Cancer_type_acronym	Cancer_type_name	EFO_id	EFO_name	Source
BLCA	Bladder cancer	MONDO_0001187	urinary bladder cancer	Dataset from intOGen
BRCA	Breast adenocarcinoma	MONDO_0004988	breast adenocarcinoma	Dataset from intOGen
HNSC	Head and Neck squamous cell carcinoma	MONDO_0010150	head and neck squamous cell carcinoma	Dataset from intOGen
KIRC	Kidney renal clear cell carcinoma	MONDO_0005005	clear cell renal carcinoma	TCGA study abbreviations
LIHC	Liver hepatocellular carcinoma	MONDO_0007256	hepatocellular carcinoma	TCGA study abbreviations
LUAD	Lung adenocarcinoma	MONDO_0005061	lung adenocarcinoma	Dataset from intOGen
LUSC	Lung squamous cell carcinoma	MONDO_0005097	squamous cell lung carcinoma	Dataset from intOGen
PRAD	Prostate adenocarcinoma	MONDO_0005082	prostate adenocarcinoma	Dataset from intOGen
STAD	Stomach adenocarcinoma	MONDO_0005036	gastric adenocarcinoma	TCGA study abbreviations
THCA	Thyroid adenocarcinoma	MONDO_0024622	thyroid gland adenocarcinoma	Dataset from intOGen
UCEC	Endometrial cancer	MONDO_0011962	endometrial cancer	Dataset from intOGen
KICH	Kidney Chromophobe	MONDO_0017885	chromophobe renal cell carcinoma	TCGA study abbreviations
KIRP	Kidney renal papillary cell carcinoma	MONDO_0017884	papillary renal cell carcinoma	TCGA study abbreviations
COREAD	Colorectal adenocarcinoma	MONDO_0005008	colorectal adenocarcinoma	Dataset from intOGen
ALL	Acute lymphoblastic leukemia	MONDO_0004967	acute lymphoblastic leukemia	Dataset from intOGen
CLL	Chronic lymphoblastic leukemia	MONDO_0004948	B-cell chronic lymphocytic leukemia	Dataset from intOGen
DLBCL	Diffuse large B-cell lymphoma	MONDO_0018905	diffuse large B-cell lymphoma	Dataset from intOGen
DLBC	Diffuse large B-cell lymphoma	MONDO_0018905	diffuse large B-cell lymphoma	Dataset from intOGen
ESCA	Esophageal cancer	MONDO_0007576	esophageal cancer	Dataset from intOGen
GBM	Glioblastoma	MONDO_0018177	glioblastoma	Dataset from intOGen
LAML	Acute Myeloid Leukemia	MONDO_0018874	acute myeloid leukemia	TCGA study abbreviations table
LGG	Lower grade glioma	MONDO_0021637	low grade glioma	Dataset from intOGen
MB	Medulloblastoma	MONDO_0007959	medulloblastoma	TCGA study abbreviations table
