STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	ANNOTATOR	ANNOTATION_DATE
ClinVar		disease	16p11.2 deletion syndrome	http://www.orpha.net/ORDO/Orphanet_261197	Gautier Koscielny	2017-06-06 12:00:00
Genomics England Panel App		disease	17-alpha-hydroxylase/17,20-lyase deficiency	http://www.orpha.net/ORDO/Orphanet_90793	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	1q21.1 recurrent microdeletion	http://www.orpha.net/ORDO/Orphanet_250989	Gautier Koscielny	2017-06-06 12:00:00
Genomics England Panel App		disease	2-aminoadipic and 2-oxoadipic aciduria	http://www.orpha.net/ORDO/Orphanet_79154	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	22q13.3 deletion syndrome	http://www.orpha.net/ORDO/Orphanet_48652	Gautier Koscielny	2017-06-06 12:00:00
Genomics England Panel App		disease	3-hydroxyacyl-CoA dehydrogenase deficiency	http://www.orpha.net/ORDO/Orphanet_5	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	3-M syndrome 1	http://www.orpha.net/ORDO/Orphanet_2616	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	3-M syndrome 2	http://www.orpha.net/ORDO/Orphanet_2616	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	3-Methylcrotonyl-CoA carboxylase 1 deficiency	http://www.orpha.net/ORDO/Orphanet_6	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	3-Methylcrotonyl-CoA carboxylase 2 deficiency	http://www.orpha.net/ORDO/Orphanet_6	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY	http://www.orpha.net/ORDO/Orphanet_6	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome	http://www.orpha.net/ORDO/Orphanet_352328	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	3-METHYLGLUTACONIC ACIDURIA, TYPE VIII	http://www.orpha.net/ORDO/Orphanet_289902	Gautier Koscielny	2017-06-06 12:00:00
Genomics England Panel App		disease	3MC syndrome 2	http://www.orpha.net/ORDO/Orphanet_293843	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
ClinVar		disease	4-Hydroxyphenylpyruvate dioxygenase deficiency	http://www.orpha.net/ORDO/Orphanet_69723	Gautier Koscielny	2017-06-06 12:00:00
ClinVar		disease	46,XX sex reversal 2	http://www.orpha.net/ORDO/Orphanet_393	Gautier Koscielny	2017-06-06 12:00:00
Genomics England Panel App		disease	46XY partial gonadal dysgenesis, with minifascicular neuropathy	http://www.orpha.net/ORDO/Orphanet_168563	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	46XY sex reversal 1	http://www.orpha.net/ORDO/Orphanet_242	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	46XY sex reversal 3	http://www.orpha.net/ORDO/Orphanet_251510	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
Genomics England Panel App		disease	46XY sex reversal 6	http://www.orpha.net/ORDO/Orphanet_251510	Denise Carvalho-Silva, Ian Dunham, Gautier Koscielny, Naveen Aranganathan	2017-05-24 12:00:00
