BIOENTITY	SEMANTIC_TAG	STUDY	ANNOTATOR	ANNOTATION_DATE
23050#HSV-1 seropositivity for Herpes Simplex virus-1	EFO_0007036	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23051#HSV-2 seropositivity for Herpes Simplex virus-2	EFO_0007036	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23052#VZV seropositivity for Varicella Zoster Virus 	EFO_0009340	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23053#EBV seropositivity for Epstein-Barr Virus	EFO_0009338	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23054#CMV seropositivity for Human Cytomegalovirus	EFO_0007037	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23055#HHV-6 overall seropositivity for Human Herpesvirus-6	EFO_0007048	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23056#HHV-6A seropositivity for Human Herpesvirus-6	EFO_0007048	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23056#HHV-6A seropositivity for Human Herpesvirus-6	EFO_0007048	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23058#HHV-7 seropositivity for Human Herpesvirus-7	EFO_0600006	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23059#KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus	EFO_0010758	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23060#HBV seropositivity for Hepatitis B Virus	EFO_0009346	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23062#T. gondii seropositivity for Toxoplasma gondii	EFO_0007047	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23063#HTLV-1 seropositivity for Human T-Lymphotropic Virus 1	EFO_0007316	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23065#BKV seropositivity for Human Polyomavirus BKV	EFO_0010905	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23066#JCV seropositivity for Human Polyomavirus JCV	EFO_0010907	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23067#MCV seropositivity for Merkel Cell Polyomavirus	EFO_0007034	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23068#HPV 16 Definition I seropositivity for Human Papillomavirus type-16	EFO_0004510	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23069#HPV 18 seropositivity for Human Papillomavirus type-18	EFO_0004510	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23070#C. trachomatis Definition I seropositivity for Chlamydia trachomatis	EFO_0009330	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23071#C. trachomatis Definition II seropositivity for Chlamydia trachomatis	EFO_0009330	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23073#H. pylori Definition I seropositivity for Helicobacter pylori	EFO_0009341	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
23074#H. pylori Definition II seropositivity for Helicobacter pylori	EFO_0009341	AstraZeneca PheWAS Portal	GWAS Catalog	2022-06-10
