Phewas_string	EFO_id	EFO_label
Abdominal aortic aneurysm	http://www.ebi.ac.uk/efo/EFO_0004214	Abdominal Aortic Aneurysm
Abdominal hernia	http://purl.obolibrary.org/obo/HP_0004299	Hernia of the abdominal wall
Abdominal pain	http://purl.obolibrary.org/obo/HP_0002027	abdominal pain
Abnormal chest sounds	NEW TERM REQUEST	Abnormal chest sounds
Abnormal coagulation profile	http://www.ebi.ac.uk/efo/EFO_0009314	blood coagulation disease
Abnormal electrocardiogram [ECG] [EKG]	http://purl.obolibrary.org/obo/HP_0003115	Abnormal EKG
Abnormal findings examination of lungs	http://purl.obolibrary.org/obo/HP_0002088	abnormality of the lung
Abnormal findings on exam of gastrointestinal tract/ abdominal area	http://purl.obolibrary.org/obo/HP_0011024	abnormality of the gastrointestinal tract
Abnormal findings on examination of urine	http://purl.obolibrary.org/obo/HP_0012614	Abnormal urine cytology 
Abnormal findings on mammogram or breast exam	http://www.ebi.ac.uk/efo/EFO_0009483	breast disease
Abnormal findings on study of brain and/or nervous system	http://purl.obolibrary.org/obo/HP_0000707	abnormality of nervous system
Abnormal function study of cardiovascular system	http://purl.obolibrary.org/obo/HP_0001626	Abnormality of the cardiovascular system
Abnormal glucose	http://www.ebi.ac.uk/efo/EFO_0002546	abnormal glucose tolerance
Abnormal heart sounds	http://www.ebi.ac.uk/efo/EFO_1001207	systolic heart failure
Abnormal involuntary movements	http://purl.obolibrary.org/obo/HP_0100022	abnormality of movement
Abnormal loss of weight and underweight	http://www.ebi.ac.uk/efo/EFO_0005936	underweight body mass index status
Abnormal mammogram	http://www.ebi.ac.uk/efo/EFO_0009483	breast disease
Abnormal movement	http://purl.obolibrary.org/obo/HP_0100022	abnormality of movement
Abnormal Papanicolaou smear of cervix and cervical HPV	http://www.ebi.ac.uk/efo/EFO_0009511	abnormal PAP smear
Abnormal reflex	http://purl.obolibrary.org/obo/HP_0031826	Abnormal reflex 
Abnormal results of function studies	http://www.ebi.ac.uk/efo/EFO_0009628	abnormal result of function studies
Abnormal results of function study of kidney	http://purl.obolibrary.org/obo/HP_0000077	abnormality of the kidney
Abnormal results of function study of liver	http://purl.obolibrary.org/obo/HP_0001392	Abnormality of the liver
Abnormal results of function study of pulmonary system	http://purl.obolibrary.org/obo/HP_0030878	Abnormality on pulmonary function testing
Abnormal results of function study of thyroid	http://www.ebi.ac.uk/efo/EFO_0009628	abnormal result of function studies
Abnormal serum enzyme levels	http://www.ebi.ac.uk/efo/EFO_0009826	abnormality of serum enzyme levels
Abnormal sputum	http://purl.obolibrary.org/obo/HP_0032016	Abnormal sputum
Abnormal tumor markers, elevated CEA or CA 125	http://purl.obolibrary.org/obo/HP_0031030	Elevated carcinoma antigen 125 level
Abnormal weight gain	http://www.ebi.ac.uk/efo/EFO_0004566	body weight gain
Abnormality of gait	http://purl.obolibrary.org/obo/HP_0001288	gait disturbance
Abnormality of red blood cells	http://purl.obolibrary.org/obo/HP_0001877	Abnormal erythrocyte morphology
Absent or infrequent menstruation	http://purl.obolibrary.org/obo/HP_0000786	Primary amenorrhea
Acid-base balance disorder	http://purl.obolibrary.org/obo/MONDO_0041261	disorder of acid-base balance
Acidosis	http://www.ebi.ac.uk/efo/EFO_1000014	acidosis
Acne	http://www.ebi.ac.uk/efo/EFO_0003894	acne
Acquired absence of breast	http://purl.obolibrary.org/obo/HP_0100783	Breast aplasia
Acquired deformities of finger	http://purl.obolibrary.org/obo/HP_0001167	Abnormality of finger
Acquired foot deformities	http://purl.obolibrary.org/obo/HP_0001760	Abnormality of the foot
Acquired hemolytic anemias	http://www.ebi.ac.uk/efo/EFO_0005558	hemolytic anemia
Acquired hypothyroidism	http://www.ebi.ac.uk/efo/EFO_0004705	hypothyroidism
Acquired spondylolisthesis	http://www.ebi.ac.uk/efo/EFO_0007493	spondylolisthesis
Acquired toe deformities	http://purl.obolibrary.org/obo/HP_0001780	Abnormality of toe
Actinic keratosis	http://www.ebi.ac.uk/efo/EFO_0002496	actinic keratosis
Acute and chronic tonsillitis	http://purl.obolibrary.org/obo/HP_0011110	tonsillitis 
Acute appendicitis	http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis
Acute bronchitis and bronchiolitis	http://purl.obolibrary.org/obo/HP_0011950	bronchiolitis
Acute bronchitis and bronchiolitis	http://www.ebi.ac.uk/efo/EFO_0009661	bronchitis
Acute bronchospasm	http://purl.obolibrary.org/obo/HP_0025428	Bronchospasm
Acute cystitis	http://www.ebi.ac.uk/efo/EFO_1000025	cystitis
Acute laryngitis and tracheitis	http://purl.obolibrary.org/obo/MONDO_0004777	Acute laryngitis                
Acute laryngitis and tracheitis	http://www.ebi.ac.uk/efo/EFO_0007518	tracheitis
Acute osteomyelitis	http://www.ebi.ac.uk/efo/EFO_0003102	osteomyelitis
Acute pancreatitis	http://www.ebi.ac.uk/efo/EFO_1000652	acute pancreatitis
Acute pericarditis	http://www.ebi.ac.uk/efo/EFO_0007427	pericarditis
Acute periodontitis	http://www.ebi.ac.uk/efo/EFO_0000649	periodontitis
Acute pharyngitis	http://www.ebi.ac.uk/efo/EFO_0009657	acute pharyngitis
Acute posthemorrhagic anemia	http://www.ebi.ac.uk/efo/EFO_0004272	anemia
Acute prostatitis	http://www.ebi.ac.uk/efo/EFO_0003830	prostatitis
Acute reaction to stress	http://www.ebi.ac.uk/efo/EFO_0005223	acute stress reaction
Acute renal failure	http://purl.obolibrary.org/obo/MONDO_0002492	acute kidney failure
Acute sinusitis	http://www.ebi.ac.uk/efo/EFO_0007486	Sinusitis
Acute tonsillitis	http://purl.obolibrary.org/obo/HP_0011110	Tonsillitis
Acute upper respiratory infections of multiple or unspecified sites	http://purl.obolibrary.org/obo/MONDO_0004867	upper respiratory tract disease
Acute, but ill-defined cerebrovascular disease	http://www.ebi.ac.uk/efo/EFO_0003763	cerebrovascular disorder
Adjustment reaction	http://purl.obolibrary.org/obo/MONDO_0003265	adjustment disorder
Adrenal cortical steroids causing adverse effects in therapeutic use	http://www.ebi.ac.uk/efo/EFO_0009658	adverse effect
Adrenal hyperfunction	http://www.ebi.ac.uk/efo/EFO_1000797	adrenal gland hyperfunction
Adrenal hypofunction	http://www.ebi.ac.uk/efo/EFO_0009491	adrenocortical insufficiency
Adverse drug events and drug allergies	 http://www.ebi.ac.uk/efo/EFO_0009658	adverse effect
Adverse drug events and drug allergies	http://www.ebi.ac.uk/efo/EFO_0009482	drug allergy
Adverse effects of antibacterials (not penicillins)	http://www.ebi.ac.uk/efo/EFO_0009658	adverse effect
Adverse effects of sedatives or other central nervous system depressants and anesthetics	http://www.ebi.ac.uk/efo/EFO_0009658	adverse effect
Adverse reaction to serum or vaccine	http://www.ebi.ac.uk/efo/EFO_0009658	adverse effect
Agorophobia, social phobia, and panic disorder	http://www.ebi.ac.uk/efo/EFO_1001872	agoraphobia
Agorophobia, social phobia, and panic disorder	http://www.ebi.ac.uk/efo/EFO_1001917	social anxiety disorder
Agorophobia, social phobia, and panic disorder	http://www.ebi.ac.uk/efo/EFO_0004262	panic disorder
Alcohol-related disorders	http://purl.obolibrary.org/obo/MONDO_0021698	alcohol-related disorders
Alcoholic liver damage	http://www.ebi.ac.uk/efo/EFO_0008573	alcoholic liver disease
Alcoholism	http://www.ebi.ac.uk/efo/EFO_0003829	alcohol dependence
Alkalosis	http://purl.obolibrary.org/obo/HP_0001948	Alkalosis
Allergic conjunctivitis	http://www.ebi.ac.uk/efo/EFO_0007141	allergic conjunctivitis
Allergic reaction to food	http://www.ebi.ac.uk/efo/EFO_0007425	peanut allergic reaction
Allergic rhinitis	http://www.ebi.ac.uk/efo/EFO_0005854	allergic rhinitis
Allergies, other	http://www.ebi.ac.uk/efo/EFO_0003785	allergy
Allergy/adverse effect of penicillin	http://www.ebi.ac.uk/efo/EFO_0009482	drug allergy
Alopecia	http://www.orpha.net/ORDO/Orphanet_79364	alopecia
Alopecia Areata	http://www.ebi.ac.uk/efo/EFO_0004192	alopecia areata
Altered mental status	 http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder
Althete's foot	http://www.ebi.ac.uk/efo/EFO_0007512	tinea pedis
Alzheimer's disease	http://www.ebi.ac.uk/efo/EFO_0000249	Alzheimer's disease
Amblyopia	http://purl.obolibrary.org/obo/MONDO_0001020	amblyopia (disease) 
Anal and rectal conditions	http://www.ebi.ac.uk/efo/EFO_0009685	rectal disease
Anal and rectal conditions	http://www.ebi.ac.uk/efo/EFO_000966	anus disease
Anal and rectal polyp	http://purl.obolibrary.org/obo/MONDO_0060766	anal polyp
Anal and rectal polyp	http://purl.obolibrary.org/obo/MONDO_0021398	rectal polyp
Anaphylactic shock NOS	http://purl.obolibrary.org/obo/MONDO_0100053	anaphylaxis
Anemia in chronic kidney disease	http://www.ebi.ac.uk/efo/EFO_0004272	anemia
Anemia in neoplastic disease	http://www.ebi.ac.uk/efo/EFO_0004272	anemia
Anemia NOS	http://www.ebi.ac.uk/efo/EFO_0004272	anemia
Anemia of chronic disease	http://www.ebi.ac.uk/efo/EFO_0004272	anemia
Aneurysm and dissection of heart	http://www.ebi.ac.uk/efo/EFO_1000959	heart aneurysm
Aneurysm and dissection of heart	http://purl.obolibrary.org/obo/HP_0002647	Aortic dissection
Aneurysm of artery of lower extremity	http://www.ebi.ac.uk/efo/EFO_0001666	aortic aneurysm
Aneurysm of iliac artery	http://www.ebi.ac.uk/efo/EFO_0001666	aortic aneurysm
Aneurysm of other specified artery	http://www.ebi.ac.uk/efo/EFO_0001666	aortic aneurysm
Angina pectoris	http://www.ebi.ac.uk/efo/EFO_0003913	angina pectoris
Angiodysplasia of intestine (without mention of hemorrhage)	http://purl.obolibrary.org/obo/HP_0000471	Gastrointestinal angiodysplasia
Anisometropia	http://purl.obolibrary.org/obo/HP_0012803	Anisometropia
Ankylosing spondylitis	http://www.ebi.ac.uk/efo/EFO_0003898	ankylosing spondylitis
Ankylosis of joint	http://purl.obolibrary.org/obo/MONDO_0002257	ankylosis (disease)
Anomalies of jaw size/symmetry	http://purl.obolibrary.org/obo/HP_0030791	Abnormal jaw morphology
Anomalies of pupillary function	http://purl.obolibrary.org/obo/HP_0007686	Abnormal pupillary function
Anomalies of tooth position/malocclusion	http://purl.obolibrary.org/obo/HP_0000689	Dental malocclusion
Anorexia	http://purl.obolibrary.org/obo/HP_0002039	Anorexia
Anterior pituitary disorders	http://www.ebi.ac.uk/efo/EFO_0009607	pituitary gland disease
Anticoagulants causing adverse effects	http://www.ebi.ac.uk/efo/EFO_0009658	adverse effect
Antihypertensive agents causing adverse effects	http://www.ebi.ac.uk/efo/EFO_0005405	response to antihypertensive drug
Antilipemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use	http://www.ebi.ac.uk/efo/EFO_0009658	adverse effect
Antineoplastic and immunosuppressive drugs causing adverse effects	http://www.ebi.ac.uk/efo/EFO_0009658	adverse effect
Antirheumatics causing adverse effects in therapeutic use	http://www.ebi.ac.uk/efo/EFO_0009658	adverse effect
Antisocial/borderline personality disorder	http://www.ebi.ac.uk/efo/EFO_0005429	borderline personality disorder symptom
Anxiety disorder	http://www.ebi.ac.uk/efo/EFO_0006788	anxiety disorder
Anxiety, phobic and dissociative disorders	http://www.ebi.ac.uk/efo/EFO_0005230	anxiety
Anxiety, phobic and dissociative disorders	http://www.ebi.ac.uk/efo/EFO_1001908	phobia
Anxiety, phobic and dissociative disorders	http://purl.obolibrary.org/obo/HP_0012075	personality disorder
Aortic aneurysm	http://www.ebi.ac.uk/efo/EFO_0001666	aortic aneurysm
Aphakia and other disorders of lens	http://www.ebi.ac.uk/efo/EFO_0009674	Lens disease
Aphasia/speech disturbance	http://purl.obolibrary.org/obo/HP_0002381	Aphasia
Aphasia/speech disturbance	http://purl.obolibrary.org/obo/MONDO_0004730	speech disorder
Aplastic anemia	http://purl.obolibrary.org/obo/HP_0001915	aplastic anemia
Apnea	http://purl.obolibrary.org/obo/HP_0002104	Apnea
Appendiceal conditions	http://www.ebi.ac.uk/efo/EFO_0009542	disorder of appendix
Appendicitis	http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis
Arrhythmia (cardiac) NOS	http://www.ebi.ac.uk/efo/EFO_0004269	cardiac arrhythmia
Arterial embolism and thrombosis	http://purl.obolibrary.org/obo/MONDO_0000831	Thrombotic disease
Arterial embolism and thrombosis	NEW TERM REQUEST	Arterial embolism
Arterial embolism and thrombosis of lower extremity artery	http://purl.obolibrary.org/obo/MONDO_0000831	Thrombotic disease
Arterial embolism and thrombosis of lower extremity artery	NEW TERM REQUEST	Arterial embolism
Arteritis NOS	 http://www.ebi.ac.uk/efo/EFO_0009011	Arteritis
Arthralgia/ankylosis of temporomandibular joint	http://purl.obolibrary.org/obo/HP_0002829	arthralgia
Arthralgia/ankylosis of temporomandibular joint	http://purl.obolibrary.org/obo/MONDO_0002257	ankylosis (disease)
Arthropathy associated with infections	http://www.ebi.ac.uk/efo/EFO_1000999	joint disease
Arthropathy associated with infections	http://www.ebi.ac.uk/efo/EFO_0000544	infection
Arthropathy associated with neurological disorders	http://www.ebi.ac.uk/efo/EFO_1000999	joint disease
Arthropathy associated with neurological disorders	http://www.ebi.ac.uk/efo/EFO_0000618	nervous system disorder
Arthropathy associated with other disorders classified elsewhere	http://www.ebi.ac.uk/efo/EFO_1000999	joint disease
Arthropathy NOS	http://www.ebi.ac.uk/efo/EFO_1000999	joint disease
Arthropathy NOS involving multiple sites	http://www.ebi.ac.uk/efo/EFO_1000999	joint disease
Ascites (non malignant)	http://purl.obolibrary.org/obo/HP_0001541	Ascites
ASCVD	http://www.ebi.ac.uk/efo/EFO_0003914	atherosclerosis
Aseptic necrosis of bone	http://www.ebi.ac.uk/efo/EFO_0004259	osteonecrosis
Asthma	http://www.ebi.ac.uk/efo/EFO_0000270	asthma
Asthma with exacerbation	http://www.ebi.ac.uk/efo/EFO_0000270	asthma
Astigmatism	http://purl.obolibrary.org/obo/HP_0000483	Astigmatism
Atherosclerosis	http://www.ebi.ac.uk/efo/EFO_0003914	atherosclerosis
Atherosclerosis of aorta	http://www.ebi.ac.uk/efo/EFO_0003914	atherosclerosis
Atherosclerosis of native arteries of the extremities with intermittent claudication	http://www.ebi.ac.uk/efo/EFO_0003914	atherosclerosis
Atherosclerosis of native arteries of the extremities with ulceration or gangrene	http://www.ebi.ac.uk/efo/EFO_0003914	atherosclerosis
Atherosclerosis of renal artery	http://www.ebi.ac.uk/efo/EFO_0003914	atherosclerosis
Atherosclerosis of the extremities	http://www.ebi.ac.uk/efo/EFO_0003914	atherosclerosis
Atopic/contact dermatitis due to other or unspecified	http://www.ebi.ac.uk/efo/EFO_0005319	contact dermatitis
Atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	atrial fibrillation
Atrial fibrillation and flutter	http://www.ebi.ac.uk/efo/EFO_0000275	atrial fibrillation
Atrial fibrillation and flutter	http://www.ebi.ac.uk/efo/EFO_0003911	atrial flutter
Atrial flutter	http://www.ebi.ac.uk/efo/EFO_0003911	atrial flutter
Atrioventricular [AV] block	 http://purl.obolibrary.org/obo/MONDO_0000465	atrioventricular block (disease)
Atrophic gastritis	http://www.ebi.ac.uk/efo/EFO_1000826	atrophic gastritis
Atrophy of edentulous alveolar ridge	http://www.ebi.ac.uk/efo/EFO_1000096	Atrophy
Attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	attention deficit hyperactivity disorder
Back pain	http://purl.obolibrary.org/obo/HP_0003418	Back pain
Bacteremia	http://www.ebi.ac.uk/efo/EFO_0003033	bacteriemia
Bacterial enteritis	 http://purl.obolibrary.org/obo/MONDO_0043579 	enteritis
Bacterial infection NOS	http://www.ebi.ac.uk/efo/EFO_0000771	bacterial disease
Bacterial pneumonia	http://www.ebi.ac.uk/efo/EFO_1001272	bacterial pneumonia
Balanoposthitis	http://purl.obolibrary.org/obo/MONDO_0001618	balanoposthitis
Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000280	Barrett's esophagus
Benign mammary dysplasias	http://www.ebi.ac.uk/efo/EFO_0003014	breast fibrocystic disease
Benign neoplasm of bone and articular cartilage	http://purl.obolibrary.org/obo/MONDO_0024469	chondrogenic neoplasm
Benign neoplasm of bone and articular cartilage	http://www.ebi.ac.uk/efo/EFO_0003820	Bone Neoplasm
Benign neoplasm of brain and other parts of nervous system	http://www.ebi.ac.uk/efo/EFO_1000107	benign brain neoplasm
Benign neoplasm of brain and other parts of nervous system	http://purl.obolibrary.org/obo/MONDO_0000648	nervous system benign neoplasm
Benign neoplasm of breast	http://purl.obolibrary.org/obo/MONDO_0000620	breast benign neoplasm
Benign neoplasm of colon	http://www.ebi.ac.uk/efo/EFO_0004288	colonic neoplasm
Benign neoplasm of eye	http://purl.obolibrary.org/obo/MONDO_0021454	benign neoplasm of eye
Benign neoplasm of lip, oral cavity, and pharynx	http://purl.obolibrary.org/obo/MONDO_0021249	lip neoplasm
Benign neoplasm of lip, oral cavity, and pharynx	http://purl.obolibrary.org/obo/MONDO_0021246	pharynx neoplasm
Benign neoplasm of lip, oral cavity, and pharynx	http://www.ebi.ac.uk/efo/EFO_0002422	benign neoplasm
Benign neoplasm of other endocrine glands and related structures	http://www.ebi.ac.uk/efo/EFO_0003769	endoctine neoplasm
Benign neoplasm of other parts of digestive system	http://purl.obolibrary.org/obo/MONDO_0000385	benign digestive system neoplasm
Benign neoplasm of ovary	http://purl.obolibrary.org/obo/MONDO_0000646	ovarian benign neoplasm
Benign neoplasm of respiratory and intrathoracic organs	http://purl.obolibrary.org/obo/MONDO_0000382	respiratory system benign neoplasm
Benign neoplasm of skin	 http://purl.obolibrary.org/obo/MONDO_002144	benign neoplasm of skin
Benign neoplasm of thyroid glands	http://www.ebi.ac.uk/efo/EFO_1000122	Benign Thyroid Gland Neoplasm
Benign neoplasm of unspecified sites	http://www.ebi.ac.uk/efo/EFO_0002422	benign neoplasm
Benign neoplasm of uterus	 http://purl.obolibrary.org/obo/MONDO_0000632	uterine benign neoplasm
Bipolar	http://www.ebi.ac.uk/efo/EFO_0000289	bipolar disorder
Bladder neck obstruction	http://www.ebi.ac.uk/efo/EFO_1000840	bladder neck obstruction
Blindness and low vision	http://purl.obolibrary.org/obo/HP_0000618	Blindness
Blister	http://purl.obolibrary.org/obo/HP_0200037	Skin vesicle
Blood in stool	 http://purl.obolibrary.org/obo/HP_0002573	Hematochezia
Blood vessel replaced	NEW TERM REQUEST	blood vessel replacement
Bone cancer	http://www.ebi.ac.uk/efo/EFO_0003820	bone neoplasm
Breast cancer	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer
Breast cancer [female]	http://www.ebi.ac.uk/efo/EFO_0000305	breast cancer
Breast conditions, congenital or relating to hormones	http://www.ebi.ac.uk/efo/EFO_0009483	breast disease
Breast disorder NOS	http://www.ebi.ac.uk/efo/EFO_0009483	breast disease
Bronchiectasis	http://purl.obolibrary.org/obo/HP_0002110	bronchiectasis
Bronchitis	http://purl.obolibrary.org/obo/HP_0012387	Bronchitis
Bronchopneumonia and lung abscess	http://www.ebi.ac.uk/efo/EFO_0007184	bronchopneumonia
Bronchopneumonia and lung abscess	http://www.ebi.ac.uk/efo/EFO_1001362	lung abscess
Bullous dermatoses	http://www.ebi.ac.uk/efo/EFO_0008598	autoimmune bullous skin disease
Bundle branch block	http://www.ebi.ac.uk/efo/EFO_0004138	bundle branch block
Bursitis	http://www.ebi.ac.uk/efo/EFO_1000941	frozen shoulder
Cachexia	http://purl.obolibrary.org/obo/HP_0004326	cachexia
Calcaneal spur; Exostosis NOS	http://purl.obolibrary.org/obo/MONDO_0002181	exostosis
Calculus of bile duct	 http://www.ebi.ac.uk/efo/EFO_1000865	choledocholithiasis
Calculus of kidney	http://www.ebi.ac.uk/efo/EFO_0003845	kidney stone
Calculus of lower urinary tract	http://purl.obolibrary.org/obo/MONDO_0004828	lower urinary tract calculus 
Calculus of ureter	http://www.ebi.ac.uk/efo/EFO_1001228	ureterolithiasis
Cancer of bladder	http://purl.obolibrary.org/obo/MONDO_0001187	urinary bladder cancer
Cancer of bone and connective tissue	http://purl.obolibrary.org/obo/MONDO_0002129	bone cancer
Cancer of bone and connective tissue	http://purl.obolibrary.org/obo/MONDO_0002176	connective tissue cancer
Cancer of brain	http://purl.obolibrary.org/obo/MONDO_0001657	brain cancer
Cancer of brain and nervous system	http://purl.obolibrary.org/obo/MONDO_0001657	brain cancer
Cancer of brain and nervous system	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer
Cancer of bronchus; lung	http://www.ebi.ac.uk/efo/EFO_1000849	bronchial neoplasm
Cancer of connective tissue	http://purl.obolibrary.org/obo/MONDO_0002176	connective tissue cancer
Cancer of esophagus	http://purl.obolibrary.org/obo/MONDO_0007576	esophageal cancer
Cancer of kidney and renal pelvis	http://www.ebi.ac.uk/efo/EFO_0005582	renal pelvis cancer
Cancer of kidney and renal pelvis	http://purl.obolibrary.org/obo/MONDO_0002367	kidney cancer
Cancer of larynx	http://www.ebi.ac.uk/efo/EFO_0003817	laryngeal neoplasm
Cancer of larynx, pharynx, nasal cavities	http://www.ebi.ac.uk/efo/EFO_0003817	laryngeal neoplasm
Cancer of larynx, pharynx, nasal cavities	http://www.ebi.ac.uk/efo/EFO_0005577	pharynx cancer
Cancer of larynx, pharynx, nasal cavities	http://purl.obolibrary.org/obo/MONDO_0001128	nasal cavity cancer
Cancer of liver and intrahepatic bile duct	http://purl.obolibrary.org/obo/MONDO_0002691	liver cancer
Cancer of liver and intrahepatic bile duct	http://purl.obolibrary.org/obo/MONDO_0001487	intrahepatic bile duct cancer
Cancer of mouth	http://www.ebi.ac.uk/efo/EFO_0003868	mouth neoplasm
Cancer of oropharynx	http://www.ebi.ac.uk/efo/EFO_1001931	oropharynx cancer
Cancer of other female genital organs	http://www.ebi.ac.uk/efo/EFO_1001331	Genital neoplasm, female
Cancer of other lymphoid, histiocytic tissue	http://www.ebi.ac.uk/efo/EFO_0001642	lymphoid neoplasm
Cancer of other lymphoid, histiocytic tissue	http://purl.obolibrary.org/obo/MONDO_0019479	histiocytic sarcoma
Cancer of other male genital organs	http://www.ebi.ac.uk/efo/EFO_0007355	male reproductive organ cancer
Cancer of prostate	http://purl.obolibrary.org/obo/MONDO_0008315	prostate cancer
Cancer of stomach	http://www.ebi.ac.uk/efo/EFO_0003897	stomach neoplasm
Cancer of urinary organs (incl. kidney and bladder)	http://www.ebi.ac.uk/efo/EFO_1000363	Malignant Urinary System Neoplasm
Cancer within the respiratory system	http://purl.obolibrary.org/obo/MONDO_0000376	respiratory system cancer
Cancer, suspected or other	http://www.ebi.ac.uk/efo/EFO_0000311	cancer
Candidiasis	http://purl.obolibrary.org/obo/MONDO_0002026	candidiasis
Carbuncle and furuncle	http://www.ebi.ac.uk/efo/EFO_1000674	carbuncle
Carbuncle and furuncle	http://purl.obolibrary.org/obo/HP_0020083	Furuncle
Carcinoma in situ of skin	http://purl.obolibrary.org/obo/MONDO_0004647	in situ carcinoma
Cardiac and circulatory congenital anomalies	http://purl.obolibrary.org/obo/MONDO_0024239	congenital anomaly of cardiovascular system
Cardiac arrest	http://purl.obolibrary.org/obo/HP_0001695	Cardiac arrest
Cardiac arrest and ventricular fibrillation	http://purl.obolibrary.org/obo/HP_0001695	Cardiac arrest
Cardiac arrest and ventricular fibrillation	http://www.ebi.ac.uk/efo/EFO_0004287	ventricular fibrillation
Cardiac complications, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0009518	complication
Cardiac conduction disorders	http://www.ebi.ac.uk/efo/EFO_1001497	cardiac conduction defect
Cardiac congenital anomalies	http://purl.obolibrary.org/obo/MONDO_0024239	congenital anomaly of cardiovascular system
Cardiac defibrillator in situ	NEW TERM REQUEST	Cardiac defibrillator in situ
Cardiac dysrhythmias	http://www.ebi.ac.uk/efo/EFO_0004269	cardiac arrhythmia
Cardiac pacemaker in situ	http://www.ebi.ac.uk/efo/EFO_0009719	artificial cardiac pacemaker
Cardiac pacemaker/device in situ	http://www.ebi.ac.uk/efo/EFO_0009719	artificial cardiac pacemaker
