biologicalSystem	effect	efoId	ensemblId	pmid	ref	symptom	target	uberonCode	url
cardiovascular system	activation_general	HP_0001662	ENSG00000181072	""	HeCaToS	bradycardia	CHRM2	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	HP_0001962	ENSG00000181072	""	HeCaToS	palpitations	CHRM2	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	EFO_0004269	ENSG00000181072	""	HeCaToS	dysrhythmia	CHRM2	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	""	ENSG00000181072	""	HeCaToS	peripheral edema	CHRM2	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	inhibition_general	HP_0001649	ENSG00000181072	""	HeCaToS	tachycardia	CHRM2	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
cardiovascular system	activation_general	""	ENSG00000181072	""	HeCaToS	vagal effects (key role in control of heart rate and smooth muscle activity)	CHRM2	UBERON_0004535	https://www.hecatos.eu/IManager/Download/687/66208/16240/1534958/EN/16240_1534958_NCDS_D1.5_Package_of_predictive_models_of_target-pathway-ADME_activities__M21.pdf
gastrointestinal	activation_general	EFO_0009836	ENSG00000133019	23197038	Bowes et al. (2012)	bronchoconstriction	CHRM3	UBERON_0005409	""
gastrointestinal	inhibition_general	HP_0002019	ENSG00000133019	23197038	Bowes et al. (2012)	constipation	CHRM3	UBERON_0005409	""
gastrointestinal	inhibition_general	HP_0000622	ENSG00000133019	23197038	Bowes et al. (2012)	blurred vision	CHRM3	UBERON_0005409	""
gastrointestinal	inhibition_general	HP_0011499	ENSG00000133019	23197038	Bowes et al. (2012)	pupil dilation	CHRM3	UBERON_0005409	""
gastrointestinal	inhibition_general	EFO_0009869	ENSG00000133019	23197038	Bowes et al. (2012)	dry mouth	CHRM3	UBERON_0005409	""
gastrointestinal	activation_general	GO_0046878	ENSG00000133019	23197038	Bowes et al. (2012)	increased salivation	CHRM3	UBERON_0005409	""
gastrointestinal	activation_general	GO_0014831	ENSG00000133019	23197038	Bowes et al. (2012)	gastrointestinal smooth muscle constriction	CHRM3	UBERON_0005409	""
gastrointestinal	activation_general	GO_0014848	ENSG00000133019	23197038	Bowes et al. (2012)	urinary smooth muscle constriction	CHRM3	UBERON_0005409	""
pulmonary	activation_general	EFO_0009836	ENSG00000133019	23197038	Bowes et al. (2012)	bronchoconstriction	CHRM3	UBERON_0002048	""
pulmonary	inhibition_general	HP_0002019	ENSG00000133019	23197038	Bowes et al. (2012)	constipation	CHRM3	UBERON_0002048	""
pulmonary	inhibition_general	HP_0000622	ENSG00000133019	23197038	Bowes et al. (2012)	blurred vision	CHRM3	UBERON_0002048	""
pulmonary	inhibition_general	HP_0011499	ENSG00000133019	23197038	Bowes et al. (2012)	pupil dilation	CHRM3	UBERON_0002048	""
pulmonary	inhibition_general	EFO_0009869	ENSG00000133019	23197038	Bowes et al. (2012)	dry mouth	CHRM3	UBERON_0002048	""
pulmonary	activation_general	GO_0046878	ENSG00000133019	23197038	Bowes et al. (2012)	increased salivation	CHRM3	UBERON_0002048	""
pulmonary	activation_general	GO_0014831	ENSG00000133019	23197038	Bowes et al. (2012)	gastrointestinal smooth muscle constriction	CHRM3	UBERON_0002048	""
pulmonary	activation_general	GO_0014848	ENSG00000133019	23197038	Bowes et al. (2012)	urinary smooth muscle constriction	CHRM3	UBERON_0002048	""
cardiovascular system	activation_general	GO_0060087	ENSG00000184845	23197038	Bowes et al. (2012)	vascular relaxation	DRD1	UBERON_0004535	""
cardiovascular system	inhibition_general	EFO_1000904	ENSG00000184845	23197038	Bowes et al. (2012)	dyskinesia	DRD1	UBERON_0004535	""
cardiovascular system	inhibition_general	HP_0001300	ENSG00000184845	23197038	Bowes et al. (2012)	parkinsonian symptoms (tremors)	DRD1	UBERON_0004535	""
cardiovascular system	inhibition_general	EFO_0009848	ENSG00000184845	23197038	Bowes et al. (2012)	anti-emetic effects	DRD1	UBERON_0004535	""
cardiovascular system	inhibition_general	MONDO_0002050	ENSG00000184845	23197038	Bowes et al. (2012)	depression	DRD1	UBERON_0004535	""
cardiovascular system	inhibition_general	EFO_0005230	ENSG00000184845	23197038	Bowes et al. (2012)	anxiety	DRD1	UBERON_0004535	""
cardiovascular system	inhibition_general	EFO_0004320	ENSG00000184845	23197038	Bowes et al. (2012)	suicidal intent	DRD1	UBERON_0004535	""
cardiovascular system	activation_general	EFO_0005251	ENSG00000184845	23197038	Bowes et al. (2012)	decreased blood pressure	DRD1	UBERON_0004535	""
cardiovascular system	activation_general	HP_0002315	ENSG00000184845	23197038	Bowes et al. (2012)	headaches	DRD1	UBERON_0004535	""
cardiovascular system	activation_general	EFO_0009847	ENSG00000184845	23197038	Bowes et al. (2012)	dizziness	DRD1	UBERON_0004535	""
cardiovascular system	activation_general	HP_0002018	ENSG00000184845	23197038	Bowes et al. (2012)	nausea	DRD1	UBERON_0004535	""
cardiovascular system	activation_general	GO_0035812	ENSG00000184845	23197038	Bowes et al. (2012)	natriuresis	DRD1	UBERON_0004535	""
cardiovascular system	activation_general	EFO_0003890	ENSG00000184845	23197038	Bowes et al. (2012)	abuse potential	DRD1	UBERON_0004535	""
central nervous system	activation_general	GO_0060087	ENSG00000184845	23197038	Bowes et al. (2012)	vascular relaxation	DRD1	UBERON_0001017	""
central nervous system	inhibition_general	EFO_1000904	ENSG00000184845	23197038	Bowes et al. (2012)	dyskinesia	DRD1	UBERON_0001017	""
central nervous system	inhibition_general	HP_0001300	ENSG00000184845	23197038	Bowes et al. (2012)	parkinsonian symptoms (tremors)	DRD1	UBERON_0001017	""
central nervous system	inhibition_general	EFO_0009848	ENSG00000184845	23197038	Bowes et al. (2012)	anti-emetic effects	DRD1	UBERON_0001017	""
central nervous system	inhibition_general	MONDO_0002050	ENSG00000184845	23197038	Bowes et al. (2012)	depression	DRD1	UBERON_0001017	""
central nervous system	inhibition_general	EFO_0005230	ENSG00000184845	23197038	Bowes et al. (2012)	anxiety	DRD1	UBERON_0001017	""
central nervous system	inhibition_general	EFO_0004320	ENSG00000184845	23197038	Bowes et al. (2012)	suicidal intent	DRD1	UBERON_0001017	""
central nervous system	activation_general	EFO_0005251	ENSG00000184845	23197038	Bowes et al. (2012)	decreased blood pressure	DRD1	UBERON_0001017	""
central nervous system	activation_general	HP_0002315	ENSG00000184845	23197038	Bowes et al. (2012)	headaches	DRD1	UBERON_0001017	""
central nervous system	activation_general	EFO_0009847	ENSG00000184845	23197038	Bowes et al. (2012)	dizziness	DRD1	UBERON_0001017	""
central nervous system	activation_general	HP_0002018	ENSG00000184845	23197038	Bowes et al. (2012)	nausea	DRD1	UBERON_0001017	""
