ensembl_gene_id	tissue	assay_format	assay_format_type	cell_short_name	assay_description	data_source	data_source_reference_link
ENSG00000091831		cell line	cell-based	T47D	"ACEA_ER is a cell-based, single-readout assay that uses T47D, a human breast cell line, with measurements taken at 80 hours after chemical dosing in a 96-well or 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000141510		cell line	cell-based	HepG2	"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000120738		cell line	cell-based	HepG2	"ATG_CIS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000091831		cell line	cell-based	HepG2	"ATG_CIS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000169856		cell line	cell-based	HepG2	"ATG_CIS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000012504		cell line	cell-based	HepG2	"ATG_CIS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000143257		cell line	cell-based	HepG2	"ATG_CIS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000168610		cell line	cell-based	HepG2	"ATG_CIS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000025434		cell line	cell-based	HepG2	"ATG_TRANS is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 24 hours after chemical dosing in a 24-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000204287		primary cell	cell-based	umbilical vein endothelium	"BSK_3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium, a human vascular primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000128052		primary cell	cell-based	umbilical vein endothelium	"BSK_4H is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium, a human vascular primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000162692		primary cell	cell-based	umbilical vein endothelium	"BSK_4H is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium, a human vascular primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000136244		primary cell	cell-based	coronary artery smooth muscle cells	"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000169429		primary cell	cell-based	coronary artery smooth muscle cells	"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000178726		primary cell	cell-based	coronary artery smooth muscle cells	"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000117525		primary cell	cell-based	coronary artery smooth muscle cells	"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000117650		cell-free	biochemical		"NVS_ENZ_hNEK2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
ENSG00000106258		cell-free	biochemical		"NVS_ADME_hCYP3A5 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 0.5 hour after chemical dosing in a 96-well plate."	Tox21	https://ntp.niehs.nih.gov/whatwestudy/tox21/phases/index.html#Phase-I
