biologicalSystem	ensemblId	event	eventId	liability	pmid	ref	target	uberonId	url
cardiovascular system	ENSG00000132155	heart disease	EFO_0003777	Important for the heart and vasculature based on findings in genetically modified or kinase-inhibitor-treated mice. Role of kinase in heart/vasculature: Anti-apoptotic; preserves left ventricular function under stress. Knockout mouse model: left ventricular dysfunction and heart failure in the absence of additional stress; Dominant negative transgenic mouse model: reduced hypertrophy but left ventricular dysfunction due to cell death	21283106	Force et al. (2011)	RAF1	UBERON_0004535	""
cardiovascular system	ENSG00000171132	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	PRKCE	UBERON_0004535	""
cardiovascular system	ENSG00000067900	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	ROCK1	UBERON_0004535	""
cardiovascular system	ENSG00000263528	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	IKBKE	UBERON_0004535	""
cardiovascular system	ENSG00000101109	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	STK4	UBERON_0004535	""
cardiovascular system	ENSG00000183735	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	TBK1	UBERON_0004535	""
cardiovascular system	ENSG00000115085	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	ZAP70	UBERON_0004535	""
cardiovascular system	ENSG00000070808	heart disease	EFO_0003777	Highly important for the heart and vasculature based on findings in genetically modified or kinase-inhibitor-treated mice. Role of kinase in heart/vasculature: Nodal kinase in heart failure; pro-hypertrophic; promotes decompensation in setting of pressure overload Mechanism of cardiotoxicity involves regulation of CAMKII gene expression and Ca2+ handling	21283106	Force et al. (2011)	CAMK2A	UBERON_0004535	""
cardiovascular system	ENSG00000162409	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	PRKAA2	UBERON_0004535	""
cardiovascular system	ENSG00000276293	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	PIP4K2B	UBERON_0004535	""
cardiovascular system	ENSG00000134058	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	CDK7	UBERON_0004535	""
cardiovascular system	ENSG00000185532	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	PRKG1	UBERON_0004535	""
cardiovascular system	ENSG00000085511	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	MAP3K4	UBERON_0004535	""
cardiovascular system	ENSG00000110931	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	CAMKK2	UBERON_0004535	""
cardiovascular system	ENSG00000104814	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	MAP4K1	UBERON_0004535	""
cardiovascular system	ENSG00000074590	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	NUAK1	UBERON_0004535	""
cardiovascular system	ENSG00000134602	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	STK26	UBERON_0004535	""
cardiovascular system	ENSG00000102572	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	STK24	UBERON_0004535	""
cardiovascular system	ENSG00000125834	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	STK35	UBERON_0004535	""
cardiovascular system	ENSG00000163932	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	PRKCD	UBERON_0004535	""
cardiovascular system	ENSG00000083290	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	ULK2	UBERON_0004535	""
cardiovascular system	ENSG00000105287	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	PRKD2	UBERON_0004535	""
cardiovascular system	ENSG00000151422	cardiac arrhythmia	EFO_0004269	Listed among thirty kinases critical for cardiomyocyte function based on the following criteria: (1) pharmacological inhibition correlated with cardiomyocyte beat changes, (2) expression in both human-induced pluripotent stemcell-derived cardiomyocytes and adult heart tissue, and (3) effects on cardiomyocyte beating following single gene knockdown.	28453775	Lamore et al. (2017)	FER	UBERON_0004535	""
